code,stockName,stockNameEng,openPrice,nationType
MSFT,마이크로소프트,Microsoft Corp,424.7,USA
AAPL,애플,Apple Inc,196.9,USA
NVDA,엔비디아,NVIDIA Corp,120.37,USA
AMZN,아마존닷컴,Amazon.com Inc,184.07,USA
META,메타 플랫폼스,Meta Platforms Inc,493.86,USA
GOOGL,알파벳 Class A,Alphabet Inc Class A,174.97,USA
GOOG,알파벳 Class C,Alphabet Inc Class C,176.45,USA
AVGO,브로드컴,Broadcom Inc,1409.8,USA
TSLA,테슬라,Tesla Inc,176.06,USA
ASML,ASML 홀딩 ADR,ASML Holding NV ADR,1016.14,USA
COST,코스트코 홀세일,Costco Wholesale Corp,847.18,USA
NFLX,넷플릭스,Netflix Inc,641.01,USA
AMD,어드밴스드 마이크로 디바이시스(AMD),Advanced Micro Devices Inc,162.48,USA
AZN,아스트라제네카 ADR,AstraZeneca PLC ADR,80.22,USA
PEP,펩시코,PepsiCo Inc,170.11,USA
QCOM,퀄컴,Qualcomm Inc,205.29,USA
TMUS,T-모바일 US,T-Mobile US Inc,179.93,USA
ADBE,어도비,Adobe Inc,453.84,USA
LIN,린드,Linde PLC,432.73,USA
PDD,핀둬둬 ADR,PDD Holdings Inc ADR,143.66,USA
SLM,SLM,SLM Corp,20.72,USA
TMDX,트랜스메딕스 그룹,Transmedics Group Inc,135.21,USA
NVEI,뉴베이,Nuvei Corp,32.15,USA
FELE,프랭클린 일렉트릭,Franklin Electric Co Inc,95.4,USA
CRDO,크레도 테크놀로지 그룹 홀딩,Credo Technology Group Holding Ltd,27.83,USA
SBNY,Signature Bank,Signature Bank,70.0,USA
FIZZ,내셔널 베버리지,National Beverage Corp,46.45,USA
OZK,뱅크 오즈크,Bank Ozk,38.0,USA
UBSI,유나이티드 뱅크셰어스(Nasdaq GS),United Bankshares Inc,31.55,USA
VRRM,베라 모빌리티,Verra Mobility Corp,26.15,USA
IAC,IAC,IAC Inc,49.47,USA
ALVO,알보테크,Alvotech SA,13.98,USA
LOPE,그랜드 캐년 에듀케이션,Grand Canyon Education Inc,141.94,USA
POWI,파워 인티그레이션,Power Integrations Inc,73.32,USA
GBDC,골럽 캐피탈 BDC,Golub Capital BDC Inc,16.1,USA
IBRX,이뮤니티바이오,Immunitybio Inc,6.05,USA
TIGO,밀리콤 인터내셔널 셀룰러,Millicom International Cellular SA,24.37,USA
PI,임핀지,Impinj Inc,148.4,USA
TSEM,타워 세미컨덕터,Tower Semiconductor Ltd,37.28,USA
FORM,폼팩터,FormFactor Inc,52.56,USA
CENX,센추리 알루미늄,Century Aluminum Co,15.69,USA
KALU,카이저 알루미늄,Kaiser Aluminum Corp,90.23,USA
TLRY,틸레이 브랜즈,Tilray Brands Inc,1.78,USA
LGND,리간드 파마슈티컬스,Ligand Pharmaceuticals Inc,80.61,USA
AVDL,아바델 파마슈티컬스 ADR,Avadel Pharmaceuticals PLC,15.41,USA
CRCT,크리컷,Cricut Inc,6.7,USA
MRTN,마텐 트랜스포트,Marten Transport Ltd,17.57,USA
EVBG,에버브릿지,Everbridge Inc,34.68,USA
SUPN,슈퍼누스 파마슈티컬스,Supernus Pharmaceuticals Inc,25.99,USA
ATEC,알파텍 홀딩스,Alphatec Holdings Inc,10.2,USA
DSGR,디스트리뷰션 솔루션스 그룹,Distribution Solutions Group Inc,30.55,USA
MXL,맥스리니어,Maxlinear Inc,16.85,USA
EFSC,엔터프라이즈 파이낸셜 서비스,Enterprise Financial Services Corp,37.82,USA
UPWK,업워크,Upwork Inc,10.62,USA
AFYA,아피야,Afya Ltd,16.1,USA
PRDO,퍼도세오 에듀케이션,Perdoceo Education Corp,21.56,USA
MRX,마렉스 그룹,Marex Group PLC,19.89,USA
OXLC,옥스포드 레인 캐피털,Oxford Lane Capital Corp,5.67,USA
BMBL,범블,Bumble Inc,11.1,USA
ANIP,ANI 파마슈티컬스,ANI Pharmaceuticals Inc,65.68,USA
MITK,마이텍 시스템즈,Mitek Systems Inc,12.13,USA
GOOD,글래드스톤 커머셜,Gladstone Commercial Corp,14.35,USA
VINP,빈치 파트너스 인베스트먼츠,Vinci Partners Investments Ltd,10.55,USA
NNDM,나노 디멘션 ADR,Nano Dimension Ltd ADR,2.55,USA
NWTN,이스트 스톤 애퀴지션,NWTN Inc,2.0,USA
PHAR,파밍 그룹 ADR,Pharming Group NV ADR,8.06,USA
LXEO,렉시오 테라퓨틱스,Lexeo Therapeutics Inc,17.11,USA
FRPH,FRP 홀딩스,FRP Holdings Inc,29.9,USA
KYTX,카이버나 테라퓨틱스,Kyverna Therapeutics Inc,13.13,USA
